Gene_name,Protein_name_x,half_life_x,Protein_name_y,half_life_y,half_life_all_x,half_life_all_y,kdeg
YAL049C,P39721,3.1683574796963487,P39721,6.437223,3.1683574796963487,6.437223,0.10767798172596246
YAL053W,P39719,1.2864674861503307,P39719,6.491147,1.2864674861503307,6.491147,0.10678346686031688
YAL059W,P39715,0.8572591196955568,P39715,6.471888,0.8572591196955568,6.471888,0.10710123236989659
YAL060W,P39714,3.0885788988271745,P39714,6.563758,3.0885788988271745,6.563758,0.1056021840780762
YAL061W,P39713,1.119317417479183,,,1.119317417479183,1.119317417479183,0.6192588176828191
YAL062W,P39708,5.400607138338415,,,5.400607138338415,5.400607138338415,0.12834615864563761
YAR002C-A,Q05359,2.5311020387998555,Q05359,9.603298,2.5311020387998555,9.603298,0.0721780351458369
YAR002W,P39705,1.7728276839084711,P39705,7.564404,1.7728276839084711,7.564404,0.09163275527853157
YAR003W,P39706,3.0729369020358734,,,3.0729369020358734,3.0729369020358734,0.2255650547529054
YAR007C,P22336,2.643200272321967,P22336,9.080873,2.643200272321967,9.080873,0.07633045639554097
YAR014C,P27637,1.6029136381829439,P27637,5.513777,1.6029136381829439,5.513777,0.12571186331256148
YAR015W,P27616,4.048643683335341,P27616,8.233017,4.048643683335341,8.233017,0.08419115137985811
YAR019C,P27636,1.528507046427645,P27636,15.3262,1.528507046427645,15.3262,0.04522629096318365
YAR042W,P35845,3.496249281435393,P35845,11.4994,3.496249281435393,11.4994,0.06027681275196491
YHR215W;YAR071W,P38693,1.267498674672503,,,1.267498674672503,1.267498674672503,0.5468622527270421
YBL001C,P35195,2.711190954878986,,,2.711190954878986,2.711190954878986,0.2556615126325117
YDR224C;YBL002W,P02293,2.8233268644414995,,,2.8233268644414995,2.8233268644414995,0.24550723803531732
YDR225W;YBL003C,P04911,2.7444905125918786,,,2.7444905125918786,2.7444905125918786,0.25255951054658293
YBL004W,P35194,0.9976799249210648,P35194,6.244637,0.9976799249210648,6.244637,0.11099879473537778
YBL006C,P38210,2.0141329890072126,P38210,7.046757,2.0141329890072126,7.046757,0.09836399645396389
YBL007C,P32790,2.7878641720689243,P32790,10.1308,2.7878641720689243,10.1308,0.06841978723890958
YBL008W,P32479,3.8503035717070238,P32479,8.616886,3.8503035717070238,8.616886,0.08044056525291682
YBL010C,P32788,2.545753042578804,P32788,10.07153,2.545753042578804,10.07153,0.06882243120558101
YBL011W,P32784,2.1931853993118513,P32784,7.58506,2.1931853993118513,7.58506,0.091383216554641
YBL015W,P32316,4.3523802395469335,P32316,9.481928,4.3523802395469335,9.481928,0.07310192405594572
YBL017C;YNR065C,P32319,2.9016794893354763,,,2.9016794893354763,2.9016794893354763,0.2388779267687781
YBL018C,P38208,,P38208,4.691158,4.691158,4.691158,0.1477560936041688
YBL022C,P36775,2.7517452825641646,P36775,8.723166,2.7517452825641646,8.723166,0.07946050557331423
YBL023C,P29469,1.7564122625532037,P29469,12.06381,1.7564122625532037,12.06381,0.05745673883789162
YBL024W,P38205,1.4193536032528988,P38205,9.909266,1.4193536032528988,9.909266,0.06994939691395359
YBL026W,P38203,2.165558531837066,P38203,9.417384,2.165558531837066,9.417384,0.07360294329719859
YBR084C-A;YBL027W,P0CX82,1.5390472346573882,,,1.5390472346573882,1.5390472346573882,0.450374208764456
YBL028C,P38202,0.7160440550365671,P38202,2.407727,0.7160440550365671,2.407727,0.28788445723287787
YBL029C-A,Q3E756,5.010235652458856,Q3E756,10.42607,5.010235652458856,10.42607,0.0664821145992637
YBL030C;YBR085W,P18239,2.5119852608135336,,,2.5119852608135336,2.5119852608135336,0.27593600622300707
YBL032W,P38199,2.7036336069405955,P38199,11.96278,2.7036336069405955,11.96278,0.057941981760087975
YBL033C,P38066,2.2138358466913814,P38066,6.458679,2.2138358466913814,6.458679,0.10732027099658387
YBL034C,P38198,,P38198,9.213896,9.213896,9.213896,0.07522845716512812
YBL035C,P38121,3.9350972524107948,P38121,7.18808,3.9350972524107948,7.18808,0.09643008711087596
YBL036C,P38197,1.6869451932884114,P38197,6.315355,1.6869451932884114,6.315355,0.1097558538767726
YBL037W,P38065,2.4690144142501085,P38065,8.444007,2.4690144142501085,8.444007,0.08208747109754236
YBL038W,P38064,3.061126518754996,P38064,30.41728,3.061126518754996,30.41728,0.022787940951983388
YBL039C,P28274,1.032487305483028,P28274,9.529443,1.032487305483028,9.529443,0.07273742867866939
YBL041W,P23724,2.4304338099450495,P23724,10.58768,2.4304338099450495,10.58768,0.06546733378416662
YBL042C,P38196,0.6740384793199627,P38196,1.695937,0.6740384793199627,1.695937,0.40871045360761943
YBL045C,P07256,3.082266628268466,P07256,8.909033,3.082266628268466,8.909033,0.07780274027045866
YBL046W,P38193,1.8121815800118446,P38193,6.872907,1.8121815800118446,6.872907,0.10085211113142449
YBL047C,P34216,3.024591779732498,P34216,11.47618,3.024591779732498,11.47618,0.06039877211406106
YBL050W,P32602,2.845276762983492,P32602,11.51485,2.845276762983492,11.51485,0.06019593660012465
YBL051C,P34217,2.4089973796923125,P34217,7.446223,2.4089973796923125,7.446223,0.09308708328503529
YBL054W,P34219,0.6311929536072127,P34219,3.295326,0.6311929536072127,3.295326,0.21034252166855275
YBL055C,P34220,1.4932580385476686,P34220,7.908745,1.4932580385476686,7.908745,0.08764313181926403
YBL056W,P34221,2.6323366502318373,P34221,9.266797,2.6323366502318373,9.266797,0.07479900342696028
YBL057C,P34222,2.2754506979298155,P34222,10.56708,2.2754506979298155,10.56708,0.06559495911452788
YBL058W,P34223,2.7018549304735515,P34223,9.328019,2.7018549304735515,9.328019,0.07430807983559481
YBL059C-A,Q3E7A4,2.452460616459814,Q3E7A4,2.006399,2.452460616459814,2.006399,0.34546826456748897
YBL059W,P34224,4.000815636550482,,,4.000815636550482,4.000815636550482,0.17325146758264007
YBL061C,P34226,1.2764295885679795,P34226,5.422285,1.2764295885679795,5.422285,0.1278330409707246
YBL064C,P34227,4.361274850945897,P34227,10.18354,4.361274850945897,10.18354,0.06806544488065498
YBL066C,P34228,1.6695232207761384,P34228,9.81608,1.6695232207761384,9.81608,0.07061344045280248
YBL067C,P38187,1.6990665210828444,P38187,9.678806,1.6990665210828444,9.678806,0.07161494719079453
YBL068W,P38063,1.3431537430339056,P38063,10.06149,1.3431537430339056,10.06149,0.06889110664125744
YBL069W;YBL068W-A,P35183,1.8990394996527438,,,1.8990394996527438,1.8990394996527438,0.36499882213439655
YER102W;YBL072C,P0CX40,1.5234437970631456,,,1.5234437970631456,1.5234437970631456,0.45498703785211897
YBL074C,P32357,2.078837222740172,P32357,8.907258,2.078837222740172,8.907258,0.07781824446535009
YBL075C,P09435,2.9310674250245343,P09435,11.04765,2.9310674250245343,11.04765,0.06274159486949217
YBL076C,P09436,1.759176259979868,P09436,10.7938,1.759176259979868,10.7938,0.06421715990290217
YBL078C,P38182,5.993294103170122,P38182,5.353047,5.993294103170122,5.353047,0.1294864738829951
YBL079W,P38181,1.828590446821874,P38181,10.49335,1.828590446821874,10.49335,0.06605585256947927
YBL081W,P38180,0.6360581709048317,P38180,2.52594,0.6360581709048317,2.52594,0.27441157769382696
YBL085W,P38041,2.082179563576396,P38041,5.64327,2.082179563576396,5.64327,0.12282722261382945
YBL086C,P38177,3.925655275366572,P38177,4.347556,3.925655275366572,4.347556,0.15943375555368242
YER117W;YBL087C,P0CX42,1.5350497377656238,,,1.5350497377656238,1.5350497377656238,0.4515470499144029
YBL090W,P38175,2.540055804885724,P38175,4.603717,2.540055804885724,4.603717,0.15056250863377252
YBL091C,P38174,2.5027974022607493,P38174,9.789507,2.5027974022607493,9.789507,0.07080511618817427
YBL092W,P38061,1.5050691296571435,P38061,9.916567,1.5050691296571435,9.916567,0.06989789718154935
YBL093C,P25046,1.9054219489120447,P25046,3.695534,1.9054219489120447,3.695534,0.18756347000459075
YBL097W,P38170,1.797590573567196,,,1.797590573567196,1.797590573567196,0.3855979168740532
YBL098W,P38169,3.779417373756389,P38169,13.09989,3.779417373756389,13.09989,0.052912442818981324
YBL099W,P07251,2.9704215707059687,P07251,8.620783,2.9704215707059687,8.620783,0.08040420232825085
YBL101C,P38167,3.3231220410351696,P38167,7.616712,3.3231220410351696,7.616712,0.09100346456055386
YBL103C,P38165,2.566100703566092,P38165,7.703375,2.566100703566092,7.703375,0.08997967521507719
YBL104C,P38164,1.6059920559575338,P38164,14.5495,1.6059920559575338,14.5495,0.04764061861644354
YBL105C,P24583,2.5893059379028567,P24583,10.03047,2.5893059379028567,10.03047,0.06910415768752065
YBL107C,P38162,1.6686767603810355,P38162,13.07335,1.6686767603810355,13.07335,0.05301985952796684
YBR001C,P35172,1.2615682462711388,,,1.2615682462711388,1.2615682462711388,0.5494329637803619
YBR003W,P18900,3.1124420359079408,P18900,7.670753,3.1124420359079408,7.670753,0.09036233868564732
YBR006W,P38067,2.886939634634659,P38067,7.297211,2.886939634634659,7.297211,0.09498795917508009
YNL030W;YBR009C,P02309,2.813943503554645,,,2.813943503554645,2.813943503554645,0.2463259051520914
YNL031C;YBR010W,P61830,3.134991815881432,,,3.134991815881432,3.134991815881432,0.22110015632211802
YBR011C,P00817,2.682438328955296,P00817,10.81479,2.682438328955296,10.81479,0.06409252334626427
YBR014C,P38068,1.7121518676076415,P38068,2.586102,1.7121518676076415,2.586102,0.2680277810233105
YBR015C,P38069,2.081495002070417,P38069,6.889516,2.081495002070417,6.889516,0.10060898045086843
YBR016W,P38216,2.1217551440796685,P38216,9.535807,2.1217551440796685,9.535807,0.07268888522596412
YBR017C,P38217,2.117236512968381,P38217,12.79121,2.117236512968381,12.79121,0.05418933631454298
YBR023C,P29465,1.4006545756602486,P29465,3.71674,1.4006545756602486,3.71674,0.18649331956498041
YBR025C,P38219,1.8860312783999893,P38219,14.57004,1.8860312783999893,14.57004,0.047573457626742637
YBR026C,P38071,3.8269887480419333,P38071,8.095241,3.8269887480419333,8.095241,0.08562403275701679
YBR028C,P38070,1.9662086696612164,P38070,5.060853,1.9662086696612164,5.060853,0.13696252006528253
YBR029C,P38221,1.5431488913908862,P38221,7.26392,1.5431488913908862,7.26392,0.09542329493716138
YBR030W,P38222,1.1213157614307159,P38222,8.683794,1.1213157614307159,8.683794,0.07982077655917968
YBR031W,P10664,1.5356247142845367,P10664,9.83728,1.5356247142845367,9.83728,0.07046126373956473
YBR034C,P38074,1.0975287156419382,P38074,11.92795,1.0975287156419382,11.92795,0.05811117422188602
YBR035C,P38075,2.9727637350285505,P38075,13.67547,2.9727637350285505,13.67547,0.05068543754327604
YBR037C,P23833,4.824404102250616,P23833,35.81544,4.824404102250616,35.81544,0.01935330629918117
YBR039W,P38077,2.959387577125846,P38077,8.0751,2.959387577125846,8.0751,0.08583759712696377
YBR041W,P38225,6.105980513795042,P38225,9.867918,6.105980513795042,9.867918,0.07024249497816513
YBR042C,P38226,,P38226,12.01363,12.01363,12.01363,0.057696731176167845
YBR046C,P38230,3.4600075389749607,P38230,7.638637,3.4600075389749607,7.638637,0.09074225945806108
YDR025W;YBR048W,P0CX47,1.5258027484094523,,,1.5258027484094523,1.5258027484094523,0.4542836099112451
YBR049C,P21538,2.034575183252713,P21538,7.530344,2.034575183252713,7.530344,0.09204721332251824
YBR052C,P38234,3.725554608989035,P38234,9.189409,3.725554608989035,9.189409,0.07542891828625163
YBR053C,P38235,4.202378540547054,P38235,16.94681,4.202378540547054,16.94681,0.04090133662677196
YBR055C,P19735,2.1764716122552423,P19735,8.787039,2.1764716122552423,8.787039,0.078882907036141
YBR056W,P38081,4.41527037519999,P38081,11.55803,4.41527037519999,11.55803,0.05997104874792203
YBR057C,P38236,2.3067786709827436,P38236,2.496118,2.3067786709827436,2.496118,0.27769006936368607
YBR058C,P38237,1.6492552578942545,P38237,8.784318,1.6492552578942545,8.784318,0.07890734153293918
YBR058C-A,Q3E790,,Q3E790,7.01591,7.01591,7.01591,0.09879647551920497
YBR059C,P38080,2.751542639076026,P38080,9.873373,2.751542639076026,9.873373,0.07020368627417857
YBR061C,P38238,1.1732823090122166,P38238,15.65437,1.1732823090122166,15.65437,0.0442781907262921
YBR065C,P38241,2.582348718974401,P38241,14.12023,2.582348718974401,14.12023,0.0490889440582728
YBR069C,P38085,0.8365622744417622,P38085,4.690018,0.8365622744417622,4.690018,0.14779200859355876
YBR071W,P38243,2.4054118156183306,,,2.4054118156183306,2.4054118156183306,0.2881615430918494
YBR072W,P15992,58.22379925682419,P15992,,58.22379925682419,58.22379925682419,0.011904877204980815
YBR073W,P38086,,P38086,3.004578,3.004578,3.004578,0.2306970165394093
YBR074W,P38244,1.8728794445029662,,,1.8728794445029662,1.8728794445029662,0.3700970623573137
YBR077C,P38247,2.8483991502590675,P38247,8.091867,2.8483991502590675,8.091867,0.08565973471387323
YBR078W,P38248,2.746577094107724,P38248,2.080827,2.746577094107724,2.080827,0.3331113929990072
YBR079C,P38249,1.4797223356404665,P38249,10.87869,1.4797223356404665,10.87869,0.06371605225996377
YBR080C,P18759,2.563527859926329,P18759;REV__Q12354,12.06021,2.563527859926329,12.06021,0.05747388980456769
YBR081C,P35177,2.1513014762873377,P35177,10.20126,2.1513014762873377,10.20126,0.06794721245806354
YBR082C,P15731,2.6750857009278226,P15731,12.69142,2.6750857009278226,12.69142,0.05461541581319862
YBR084W,P09440,1.281031590280022,P09440,8.82913,1.281031590280022,8.82913,0.07850684954915664
YBR085C-A,O43137,1.1570931613246422,O43137,2.455261,1.1570931613246422,2.455261,0.2823109969001036
YBR086C,P38250,2.834819937823834,P38250,13.81106,2.834819937823834,13.81106,0.05018783355947663
YBR087W,P38251,2.255748727626397,P38251,10.00711,2.255748727626397,10.00711,0.06926547030660653
YBR088C,P15873,2.4166314418604653,P15873,11.35734,2.4166314418604653,11.35734,0.061030767817107284
YBR091C,P32830,2.147812935296816,P32830,4.273288,2.147812935296816,4.273288,0.16220464910390905
YBR092C,P24031,2.6002269206744337,,,2.6002269206744337,2.6002269206744337,0.2665718038101691
YBR093C,P00635,1.8534360566305224,,,1.8534360566305224,1.8534360566305224,0.37397954900049857
YBR094W,P38254,2.3161287141579976,P38254,10.24435,2.3161287141579976,10.24435,0.06766141146680318
YBR095C,P38255,2.4340632276848124,P38255,8.69071,2.4340632276848124,8.69071,0.07975725580072805
YBR096W,P38256,6.29134501960575,P38256,12.17924,6.29134501960575,12.17924,0.05691218668487896
YBR101C,P38260,1.710320364615896,P38260,9.618535,1.710320364615896,9.618535,0.07206369582893292
YBR102C,P38261,2.7111710170576853,P38261,7.807661,2.7111710170576853,7.807661,0.08877782738773433
YBR103W,P38262,,P38262,5.682536,5.682536,5.682536,0.1219784935035951
YBR104W,P38087,1.9073990041544975,,,1.9073990041544975,1.9073990041544975,0.36339915196044686
YBR106W,P38264,1.775199616954708,P38264,6.496986,1.775199616954708,6.496986,0.10668749795057975
YBR108W,P38266,3.1510960390443383,P38266,12.18651,3.1510960390443383,12.18651,0.05687823507796287
YBR109C,P06787,2.3763782938630937,P06787,10.77866,2.3763782938630937,10.77866,0.06430736107827367
YBR111C,Q01976,3.3837385079306377,Q01976,8.150484,3.3837385079306377,8.150484,0.08504368336407325
YBR111W-A,Q6WNK7,2.031460829619511,,,2.031460829619511,2.031460829619511,0.34120627405342124
YBR112C,P14922,2.7080743125677795,P14922,10.46309,2.7080743125677795,10.46309,0.0662468907903827
YBR115C,P07702,3.237346474515002,,,3.237346474515002,3.237346474515002,0.2141096685252968
YBR117C,P33315,28.701529520686904,P33315,,28.701529520686904,28.701529520686904,0.024150182660486883
YPR080W;YBR118W,P02994,1.750925433051656,,,1.750925433051656,1.750925433051656,0.3958747571287897
YBR119W,P32605,2.2870137666015156,P32605,10.86389,2.2870137666015156,10.86389,0.06380285335730988
YBR120C,P07253,3.0346748597402877,P07253,6.646809,3.0346748597402877,6.646809,0.10428269874460741
YBR121C,P38088,1.7258137626750916,P38088,10.29021,1.7258137626750916,10.29021,0.06735986734575342
YBR122C,P36531,2.011563481738173,,,2.011563481738173,2.011563481738173,0.3445813104347089
YBR123C,P32367,5.660205594846964,P32367,8.334101,5.660205594846964,8.334101,0.08317000004678912
YBR125C,P38089,,P38089,9.713721,9.713721,9.713721,0.07135753441548767
YBR126C,Q00764,4.58776116206772,Q00764,9.026937,4.58776116206772,9.026937,0.07678653130734658
YBR126W-A,Q8TGU7,2.7156498690706683,Q8TGU7,2.414009,2.7156498690706683,2.414009,0.28713529260244897
YBR127C,P16140,2.8133660894083627,P16140,9.617673,2.8133660894083627,9.617673,0.07207015465798694
YBR130C,P38272,2.396894792143632,P38272,9.188643,2.396894792143632,9.188643,0.07543520632589004
YBR135W,P20486,2.0888622457669537,,,2.0888622457669537,2.0888622457669537,0.33183001031523124
YBR137W,P38276,2.5635774307809696,P38276,9.689148,2.5635774307809696,9.689148,0.07153850684910018
YBR139W,P38109,5.074095147686375,P38109,8.161824,5.074095147686375,8.161824,0.08492552406912295
YBR142W,P38112,1.0964426249971797,P38112,5.935395,1.0964426249971797,5.935395,0.11678198006365967
YBR143C,P12385,1.5393270103473036,P12385,9.054836,1.5393270103473036,9.054836,0.07654994309780379
YBR145W,P38113,2.914572365096448,P38113,20.00365,2.914572365096448,20.00365,0.034651035214070695
YBR146W,P38120,2.487853476504409,P38120,4.687679,2.487853476504409,4.687679,0.1478657520192712
YBR149W,P38115,3.7073581727919027,P38115,9.011112,3.7073581727919027,9.011112,0.07692138113031391
YBR151W,P38281,2.413854017768262,P38281,9.72532,2.413854017768262,9.72532,0.07127242913960109
YBR152W,P38282,,P38282,7.081286,7.081286,7.081286,0.09788436458574688
YBR154C,P20434,1.5111151129229958,P20434,9.99266,1.5111151129229958,9.99266,0.06936563243019829
YBR155W,P33313,1.1527304913266254,P33313,9.382797,1.1527304913266254,9.382797,0.07387425951557358
YBR156C,P38283,3.116772305418996,,,3.116772305418996,3.116772305418996,0.2223926269348584
YBR159W,P38286,2.821210097120135,,,2.821210097120135,2.821210097120135,0.2456914432808473
YBR160W,P00546,2.558339443868336,P00546,10.37396,2.558339443868336,10.37396,0.06681606450766585
YBR162C,P38288,1.8213378382864098,P38288,3.936447,1.8213378382864098,3.936447,0.1760844692078784
YBR164C,P38116,2.2153824688266264,P38116,10.8123,2.2153824688266264,10.8123,0.06410728342350334
YBR166C,P20049,2.1890479394750693,P20049,9.988344,2.1890479394750693,9.988344,0.06939560557385141
YBR169C,P32590,5.03636791783704,P32590,12.83376,5.03636791783704,12.83376,0.05400967296879054
YBR170C,P33755,2.300205564702819,P33755,9.100578,2.300205564702819,9.100578,0.07616518209721902
YBR171W,P33754,1.936089415176994,P33754,10.48822,1.936089415176994,10.48822,0.06608816181963624
YBR172C,P32909,1.5104529975759857,P32909,6.751748,1.5104529975759857,6.751748,0.10266188556799591
YBR176W,P38122,1.9027835038754852,P38122,9.818125,1.9027835038754852,9.818125,0.07059873250340011
YBR177C,P38295,2.500344617200221,P38295,7.678417,2.500344617200221,7.678417,0.0902721460113387
YBR179C,P38297,5.0436542197990395,P38297,2.978171,5.0436542197990395,2.978171,0.2327425727266652
YPL090C;YBR181C,P0CX37,1.5296313605765643,,,1.5296313605765643,1.5296313605765643,0.45314655440816615
YBR187W,P38301,,P38301,3.070659,3.070659,3.070659,0.22573238531531678
YBR188C,P38302,1.6743991472376378,P38302,4.516912,1.6743991472376378,4.516912,0.15345598509777153
YBR189W,P05755,1.4958483870545707,P05755,10.77493,1.4958483870545707,10.77493,0.06432962261100028
YBR191W,Q02753,1.5190260563808784,Q02753,14.45946,1.5190260563808784,14.45946,0.047937279854153976
YBR193C,P38304,2.120370655187207,P38304,8.157242,2.120370655187207,8.157242,0.08497322753939938
YBR194W,P38305,2.006902584243836,P38305,6.659079,2.006902584243836,6.659079,0.1040905477409031
YBR195C,P13712,1.802303475495248,P13712,17.10606,1.802303475495248,17.10606,0.04052056292097335
YBR196C,P12709,3.06750970237378,P12709,13.21671,3.06750970237378,13.21671,0.052444759744289256
YBR197C,P38306,1.6400370660606753,P38306,4.874626,1.6400370660606753,4.874626,0.14219494594250826
YBR198C,P38129,2.2371234557604316,P38129,10.39139,2.2371234557604316,10.39139,0.06670399056911012
YBR199W,P38131,1.6982224664598229,P38131,2.235179,1.6982224664598229,2.235179,0.31010813029289613
YBR200W,P29366,2.222388207885422,P29366,7.807576,2.222388207885422,7.807576,0.08877879389966173
YBR205W,P38130,2.393946419065763,P38130,7.106537,2.393946419065763,7.106537,0.09753656113518375
YBR208C,P32528,142.34591995152078,P32528,10.47358,142.34591995152078,10.47358,0.06618054004074493
YBR211C,P38313,,P38313,10.01904,10.01904,10.01904,0.06918299363611137
YBR212W,P32831,1.8826097091822667,,,1.8826097091822667,1.8826097091822667,0.3681842163987467
YBR214W,P38314,155.931719245351,P38314,8.006742,155.931719245351,8.006742,0.08657044033140388
YBR215W,Q01448,1.6389202181328502,Q01448,7.599962,1.6389202181328502,7.599962,0.09120403240962854
YBR216C,P38315,2.4862350484446023,P38315,10.09974,2.4862350484446023,10.09974,0.06863020043683751
YBR218C,P32327,1.7394496447215695,P32327,13.42958,1.7394496447215695,13.42958,0.051613466732388154
YBR221C,P32473,2.778326145800699,P32473,9.409131,2.778326145800699,9.409131,0.07366750240377622
YBR222C,P38137,3.293175687191228,P38137,12.54116,3.293175687191228,12.54116,0.05526978210627608
YBR225W,P38321,3.7617289294857947,P38321,35.99552,3.7617289294857947,35.99552,0.019256484711429236
YBR227C,P38323,2.1324601735297173,P38323,7.65668,2.1324601735297173,7.65668,0.09052842492567867
YBR229C,P38138,2.5995220207021523,P38138,4.399456,2.5995220207021523,4.399456,0.15755292939853138
YBR230C,P38325,3.7689529094033114,P38325,6.991993,3.7689529094033114,6.991993,0.09913442141031109
YBR231C,P38326,1.4126259741831553,P38326,4.412953,1.4126259741831553,4.412953,0.15707105436199872
YBR233W,P38151,2.065783699811395,P38151,5.645789,2.065783699811395,5.645789,0.12277242039331356
YBR233W-A,P69850,2.6914668495154146,,,2.6914668495154146,2.6914668495154146,0.2575350986339449
YBR234C,P38328,3.1845207618512332,P38328,11.63384,3.1845207618512332,11.63384,0.05958025729767173
YBR236C,P32783,2.0897536442207665,P32783,8.698433,2.0897536442207665,8.698433,0.07968644243853408
YBR238C,P38330,1.5194076620558696,P38330,1.668245,1.5194076620558696,1.668245,0.4154948347274803
YBR242W,P38331,0.7894107664470426,P38331,3.201776,0.7894107664470426,3.201776,0.21648834289467633
YBR244W,P38143,1.7175378689939755,P38143,4.698282,1.7175378689939755,4.698282,0.1475320511965747
YBR245C,P38144,1.9571748991492461,P38144,9.037664,1.9571748991492461,9.037664,0.07669539170298269
YBR246W,P38332,3.9915155462385257,P38332,8.299765,3.9915155462385257,8.299765,0.08351407305627873
YBR247C,P38333,1.0275994142082965,P38333,8.579332,1.0275994142082965,8.579332,0.08079267483295263
YBR248C,P33734,2.3996841108552864,P33734,15.06392,2.3996841108552864,15.06392,0.046013732186571975
YBR249C,P32449,1.6708347115126898,P32449,13.89003,1.6708347115126898,13.89003,0.049902497011161624
YBR251W,P33759,2.9361275874348545,P33759,7.77231,2.9361275874348545,7.77231,0.08918161789222834
YBR252W,P33317,1.9286036052833504,P33317,11.13202,1.9286036052833504,11.13202,0.06226607395243139
YBR253W,P32570,2.797825289614389,,,2.797825289614389,2.797825289614389,0.2477449836245774
YBR256C,P38145,2.819773268540378,P38145,19.98865,2.819773268540378,19.98865,0.03467703824720255
YBR260C,P38339,2.2860896265429425,P38339,0.2433294,2.2860896265429425,0.2433294,2.848596102895685
YBR261C,P38340,1.7622686497262046,P38340,10.51206,1.7622686497262046,10.51206,0.06593828236900715
YBR263W,P37292,1.7885085498217292,P37292,9.132113,1.7885085498217292,9.132113,0.07590216859558628
YBR267W,P38344,0.8051615553164063,P38344,4.823131,0.8051615553164063,4.823131,0.14371311510302026
YBR268W,P36532,2.6216584788521753,P36532,5.368758,2.6216584788521753,5.368758,0.12910754788350404
YBR269C,P38345,4.111323435852157,P38345,2.830176,4.111323435852157,2.830176,0.24491310100853986
YBR272C,P38348,2.1389730925546266,P38348,18.34728,2.1389730925546266,18.34728,0.03777928829559178
YBR273C,P38349,2.2968156577000816,P38349,7.729282,2.2968156577000816,7.729282,0.08967808142592613
